,feature,informations
323,PREV_NAME_PRODUCT_TYPE_x_sell_MEAN,Was the previous application x-sell o walk-in
324,PREV_CHANNEL_TYPE_AP_Cash_loan_MEAN,Through which channel we acquired the client on the previous application
325,PREV_CHANNEL_TYPE_Car_dealer_MEAN,Through which channel we acquired the client on the previous application
326,PREV_CHANNEL_TYPE_Channel_of_corporate_sales_MEAN,Through which channel we acquired the client on the previous application
327,PREV_CHANNEL_TYPE_Contact_center_MEAN,Through which channel we acquired the client on the previous application
328,PREV_CHANNEL_TYPE_Country_wide_MEAN,Through which channel we acquired the client on the previous application
329,PREV_CHANNEL_TYPE_Credit_and_cash_offices_MEAN,Through which channel we acquired the client on the previous application
330,PREV_CHANNEL_TYPE_Regional___Local_MEAN,Through which channel we acquired the client on the previous application
331,PREV_CHANNEL_TYPE_Stone_MEAN,Through which channel we acquired the client on the previous application
332,PREV_NAME_SELLER_INDUSTRY_Auto_technology_MEAN,The industry of the seller
333,PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,The industry of the seller
334,PREV_NAME_SELLER_INDUSTRY_Connectivity_MEAN,The industry of the seller
335,PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,The industry of the seller
336,PREV_NAME_SELLER_INDUSTRY_Consumer_electronics_MEAN,The industry of the seller
337,PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,The industry of the seller
338,PREV_NAME_SELLER_INDUSTRY_Industry_MEAN,The industry of the seller
339,PREV_NAME_SELLER_INDUSTRY_Jewelry_MEAN,The industry of the seller
340,PREV_NAME_SELLER_INDUSTRY_MLM_partners_MEAN,The industry of the seller
341,PREV_NAME_SELLER_INDUSTRY_Tourism_MEAN,The industry of the seller
342,PREV_NAME_SELLER_INDUSTRY_XNA_MEAN,The industry of the seller
343,PREV_NAME_YIELD_GROUP_XNA_MEAN,Grouped interest rate into small medium and high of the previous application
344,PREV_NAME_YIELD_GROUP_high_MEAN,Grouped interest rate into small medium and high of the previous application
345,PREV_NAME_YIELD_GROUP_low_action_MEAN,Grouped interest rate into small medium and high of the previous application
346,PREV_NAME_YIELD_GROUP_low_normal_MEAN,Grouped interest rate into small medium and high of the previous application
347,PREV_NAME_YIELD_GROUP_middle_MEAN,Grouped interest rate into small medium and high of the previous application
348,PREV_PRODUCT_COMBINATION_Card_Street_MEAN,Detailed product combination of the previous application
349,PREV_PRODUCT_COMBINATION_Card_X_Sell_MEAN,Detailed product combination of the previous application
350,PREV_PRODUCT_COMBINATION_Cash_MEAN,Detailed product combination of the previous application
351,PREV_PRODUCT_COMBINATION_Cash_Street__high_MEAN,Detailed product combination of the previous application
352,PREV_PRODUCT_COMBINATION_Cash_Street__low_MEAN,Detailed product combination of the previous application
353,PREV_PRODUCT_COMBINATION_Cash_Street__middle_MEAN,Detailed product combination of the previous application
354,PREV_PRODUCT_COMBINATION_Cash_X_Sell__high_MEAN,Detailed product combination of the previous application
355,PREV_PRODUCT_COMBINATION_Cash_X_Sell__low_MEAN,Detailed product combination of the previous application
356,PREV_PRODUCT_COMBINATION_Cash_X_Sell__middle_MEAN,Detailed product combination of the previous application
357,PREV_PRODUCT_COMBINATION_POS_household_with_interest_MEAN,Detailed product combination of the previous application
358,PREV_PRODUCT_COMBINATION_POS_household_without_interest_MEAN,Detailed product combination of the previous application
359,PREV_PRODUCT_COMBINATION_POS_industry_with_interest_MEAN,Detailed product combination of the previous application
360,PREV_PRODUCT_COMBINATION_POS_industry_without_interest_MEAN,Detailed product combination of the previous application
361,PREV_PRODUCT_COMBINATION_POS_mobile_with_interest_MEAN,Detailed product combination of the previous application
362,PREV_PRODUCT_COMBINATION_POS_mobile_without_interest_MEAN,Detailed product combination of the previous application
363,PREV_PRODUCT_COMBINATION_POS_other_with_interest_MEAN,Detailed product combination of the previous application
364,PREV_PRODUCT_COMBINATION_POS_others_without_interest_MEAN,Detailed product combination of the previous application
365,APPROVED_AMT_ANNUITY_MIN,Loan annuity
366,APPROVED_AMT_ANNUITY_MAX,Loan annuity
367,APPROVED_AMT_ANNUITY_MEAN,Loan annuity
368,APPROVED_AMT_APPLICATION_MIN,For how much credit did client ask on the previous application
369,APPROVED_AMT_APPLICATION_MAX,For how much credit did client ask on the previous application
370,APPROVED_AMT_APPLICATION_MEAN,For how much credit did client ask on the previous application
371,APPROVED_AMT_CREDIT_MIN,Credit amount of the loan
372,APPROVED_AMT_CREDIT_MAX,Credit amount of the loan
373,APPROVED_AMT_CREDIT_MEAN,Credit amount of the loan
374,APPROVED_APP_CREDIT_PERC_MIN,no informations
375,APPROVED_APP_CREDIT_PERC_MAX,no informations
376,APPROVED_APP_CREDIT_PERC_MEAN,no informations
377,APPROVED_AMT_DOWN_PAYMENT_MIN,Down payment on the previous application
378,APPROVED_AMT_DOWN_PAYMENT_MAX,Down payment on the previous application
379,APPROVED_AMT_DOWN_PAYMENT_MEAN,Down payment on the previous application
380,APPROVED_AMT_GOODS_PRICE_MIN,For consumer loans it is the price of the goods for which the loan is given
381,APPROVED_AMT_GOODS_PRICE_MAX,For consumer loans it is the price of the goods for which the loan is given
382,APPROVED_AMT_GOODS_PRICE_MEAN,For consumer loans it is the price of the goods for which the loan is given
383,APPROVED_HOUR_APPR_PROCESS_START_MIN,Approximately at what hour did the client apply for the loan
384,APPROVED_HOUR_APPR_PROCESS_START_MAX,Approximately at what hour did the client apply for the loan
385,APPROVED_HOUR_APPR_PROCESS_START_MEAN,Approximately at what hour did the client apply for the loan
386,APPROVED_RATE_DOWN_PAYMENT_MIN,Down payment rate normalized on previous credit
387,APPROVED_RATE_DOWN_PAYMENT_MAX,Down payment rate normalized on previous credit
388,APPROVED_RATE_DOWN_PAYMENT_MEAN,Down payment rate normalized on previous credit
389,APPROVED_DAYS_DECISION_MIN,Relative to current application when was the decision about previous application made
390,APPROVED_DAYS_DECISION_MAX,Relative to current application when was the decision about previous application made
391,APPROVED_DAYS_DECISION_MEAN,Relative to current application when was the decision about previous application made
392,APPROVED_CNT_PAYMENT_MEAN,Term of previous credit at application of the previous application
393,APPROVED_CNT_PAYMENT_SUM,Term of previous credit at application of the previous application
394,POS_MONTHS_BALANCE_MAX,Month of balance relative to application date (-1 means the freshest balance date)
395,POS_MONTHS_BALANCE_MEAN,Month of balance relative to application date (-1 means the freshest balance date)
396,POS_MONTHS_BALANCE_SIZE,Month of balance relative to application date (-1 means the freshest balance date)
397,POS_SK_DPD_MAX,DPD (days past due) during the month of previous credit
398,POS_SK_DPD_MEAN,DPD (days past due) during the month of previous credit
399,POS_SK_DPD_DEF_MAX,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
400,POS_SK_DPD_DEF_MEAN,DPD during the month with tolerance (debts with low loan amounts are ignored) of the previous credit
401,POS_NAME_CONTRACT_STATUS_Active_MEAN,Contract status during the month
402,POS_NAME_CONTRACT_STATUS_Amortized_debt_MEAN,Contract status during the month
403,POS_NAME_CONTRACT_STATUS_Approved_MEAN,Contract status during the month
404,POS_NAME_CONTRACT_STATUS_Canceled_MEAN,Contract status during the month
405,POS_NAME_CONTRACT_STATUS_Completed_MEAN,Contract status during the month
406,POS_NAME_CONTRACT_STATUS_Demand_MEAN,Contract status during the month
407,POS_NAME_CONTRACT_STATUS_Returned_to_the_store_MEAN,Contract status during the month
408,POS_NAME_CONTRACT_STATUS_Signed_MEAN,Contract status during the month
409,POS_NAME_CONTRACT_STATUS_XNA_MEAN,Contract status during the month
410,POS_COUNT,no informations
411,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,Version of installment calendar (0 is for credit card) of previous credit. Change of installment version from month to month signifies that some parameter of payment calendar has changed
412,INSTAL_DPD_MAX,no informations
413,INSTAL_DPD_MEAN,no informations
414,INSTAL_DPD_SUM,no informations
415,INSTAL_DBD_MAX,no informations
416,INSTAL_DBD_MEAN,no informations
417,INSTAL_DBD_SUM,no informations
418,INSTAL_PAYMENT_PERC_MAX,no informations
419,INSTAL_PAYMENT_PERC_MEAN,no informations
420,INSTAL_PAYMENT_PERC_SUM,no informations
421,INSTAL_PAYMENT_PERC_VAR,no informations
422,INSTAL_PAYMENT_DIFF_MAX,no informations
423,INSTAL_PAYMENT_DIFF_MEAN,no informations
424,INSTAL_PAYMENT_DIFF_SUM,no informations
425,INSTAL_PAYMENT_DIFF_VAR,no informations
426,INSTAL_AMT_INSTALMENT_MAX,What was the prescribed installment amount of previous credit on this installment
427,INSTAL_AMT_INSTALMENT_MEAN,What was the prescribed installment amount of previous credit on this installment
428,INSTAL_AMT_INSTALMENT_SUM,What was the prescribed installment amount of previous credit on this installment
429,INSTAL_AMT_PAYMENT_MIN,What the client actually paid on previous credit on this installment
430,INSTAL_AMT_PAYMENT_MAX,What the client actually paid on previous credit on this installment
431,INSTAL_AMT_PAYMENT_MEAN,What the client actually paid on previous credit on this installment
432,INSTAL_AMT_PAYMENT_SUM,What the client actually paid on previous credit on this installment
433,INSTAL_DAYS_ENTRY_PAYMENT_MAX,When was the installments of previous credit paid actually (relative to application date of current loan)
434,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,When was the installments of previous credit paid actually (relative to application date of current loan)
435,INSTAL_DAYS_ENTRY_PAYMENT_SUM,When was the installments of previous credit paid actually (relative to application date of current loan)
436,INSTAL_COUNT,no informations
